probe_id,primary_mean_log2_fold_change,primary_t_statistic,primary_p_value,primary_fdr,primary_significant,sensitivity_mean_log2_fold_change,sensitivity_t_statistic,sensitivity_p_value,sensitivity_fdr,sensitivity_significant,robust,direction,gene_symbol,gene_id,gene_title
224212_s_at,0.0524968333333333,0.43156105426578956,0.6676334011724188,0.7422447835275624,False,-0.044364339622641524,-0.35924264632195496,0.7208682786268636,0.7830380413682783,False,False,Higher in tumor,PCDHA1///PCDHA2///PCDHA3///PCDHA4///PCDHA5///PCDHA6///PCDHA7///PCDHA8///PCDHA10///PCDHA11///PCDHA12///PCDHA13///PCDHAC1///PCDHAC2///PCDHA9,56147///56146///56145///56144///56143///56142///56141///56140///56139///56138///56137///56136///56135///56134///9752,"protocadherin alpha 1///protocadherin alpha 2///protocadherin alpha 3///protocadherin alpha 4///protocadherin alpha 5///protocadherin alpha 6///protocadherin alpha 7///protocadherin alpha 8///protocadherin alpha 10///protocadherin alpha 11///protocadherin alpha 12///protocadherin alpha 13///protocadherin alpha subfamily C, 1///protocadherin alpha subfamily C, 2///protocadherin alpha 9"
224213_at,0.03382433333333331,1.8378151431096428,0.07112610732947373,0.11842438389180146,False,0.036744150943396205,1.8368666929882198,0.07194784167017093,0.11633833860694394,False,False,Higher in tumor,,,
224214_at,0.02046950000000001,0.8436029001481934,0.4022987210430101,0.4984405396230728,False,0.03319811320754719,1.2934816484508347,0.2015610218366588,0.27935686250397523,False,False,Higher in tumor,,,
224215_s_at,-1.0645358333333335,-9.717875248553014,7.428696921684811e-14,2.4277585426964558e-12,True,-1.1243841509433965,-10.543448420745301,1.619296443761617e-14,5.561245795393619e-13,True,True,Lower in tumor,DLL1,28514,delta like canonical Notch ligand 1
224216_at,0.03370766666666664,1.2185502046613577,0.22786507992637187,0.31385623491559095,False,0.01774566037735846,0.6024374557129726,0.5495011941078337,0.6331979806914055,False,False,Higher in tumor,,,
224217_s_at,0.4425945000000001,8.648762951026745,4.416444400130286e-12,8.733059586876072e-11,False,0.4737849056603774,9.122025957877787,2.249659216280938e-12,4.3082352942262796e-11,False,False,Higher in tumor,FAF1,11124,Fas associated factor 1
224218_s_at,0.005084333333333305,0.06404695794951118,0.9491493428500493,0.963887522434043,False,-0.013923584905660405,-0.17024834769680205,0.8654754986858112,0.9000108962216697,False,False,Higher in tumor,TRPS1,7227,transcriptional repressor GATA binding 1
224219_s_at,-0.09688799999999999,-2.485896311036925,0.015774567862711874,0.0323572039636971,False,-0.12430641509433961,-3.3597778734051547,0.0014671277198616088,0.0038061783194986223,False,False,Lower in tumor,TRPC4,7223,transient receptor potential cation channel subfamily C member 4
224220_x_at,-0.01900933333333333,-0.5624302726772279,0.5759537146902617,0.6625597422217341,False,-0.04267754716981134,-1.225994264537134,0.2257241045467379,0.3068489660888338,False,False,Lower in tumor,TRPC4,7223,transient receptor potential cation channel subfamily C member 4
224221_s_at,0.0659203333333333,0.5118704115643319,0.6106523878097032,0.6928431655252345,False,0.12348716981132069,0.883647347467632,0.3809538981985488,0.47303448364838424,False,False,Higher in tumor,VAV3,10451,vav guanine nucleotide exchange factor 3
224223_s_at,0.08691983333333335,3.5663007143073284,0.0007258479963431912,0.0021553366840411643,False,0.09520547169811319,3.6210742532592777,0.0006654505380747699,0.0018771802790856487,False,False,Higher in tumor,PDE11A,50940,phosphodiesterase 11A
224224_s_at,0.007168166666666672,0.3489362767229904,0.7283793778612564,0.7928831601442291,False,0.006617735849056613,0.3022529136737015,0.7636649478668283,0.8183567751439376,False,False,Higher in tumor,PDE11A,50940,phosphodiesterase 11A
224225_s_at,0.09490366666666665,1.0774133514482669,0.28568124812811974,0.3777509067064487,False,0.08989735849056603,0.9147325519332211,0.3645543840611724,0.456152614087048,False,False,Higher in tumor,ETV7,51513,ETS variant 7
224226_at,0.009285166666666685,0.5771844512427363,0.5660108747546246,0.6533790342287202,False,0.012516037735849072,0.6941659416372863,0.4906678841745519,0.5792099351694545,False,False,Higher in tumor,PKD2L2,27039,"polycystin 2 like 2, transient receptor potential cation channel"
224227_s_at,0.0035334999999999304,0.10024868202434871,0.9204867739954565,0.9428178038254325,False,-0.019985094339622703,-0.517472836009721,0.6070205750015486,0.6852528222123278,False,False,Higher in tumor,BDP1,55814,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
224228_s_at,0.049588666666666635,1.891350850087674,0.06348968987323554,0.10745059103012299,False,0.07046358490566038,2.5539633491537965,0.013620325133942249,0.027439893757997436,False,False,Higher in tumor,PRDM7,11105,PR/SET domain 7
224229_s_at,-0.3617120000000001,-5.948117783465947,1.5765926595505393e-07,1.0989317141882425e-06,False,-0.37090169811320767,-5.84529333457343,3.375772170177505e-07,2.007945424330451e-06,False,False,Lower in tumor,AKT3,10000,AKT serine/threonine kinase 3
224230_at,0.034148666666666674,1.4593223586682755,0.14978036962902605,0.22154650541325302,False,0.03897811320754717,1.5605010821079575,0.12470751691059508,0.1862437445257248,False,False,Higher in tumor,IL36B,27177,"interleukin 36, beta"
224231_at,-0.04161300000000001,-2.2689078613900526,0.02694607060639069,0.051525816722674526,False,-0.050859245283018883,-2.5178340068084397,0.01492620768210101,0.029732235682704486,False,False,Lower in tumor,PRO0471,28994,uncharacterized LOC28994
